,model_name,learning_rate,avg_loss,train_accuracy,train_precision,train_recall,validation_accuracy,validation_precision,validation_recall,epoch
0,baseline_27_0,0.01,0.607242899281638,0.7275862097740173,0.7124463319778442,0.7632184028625488,0.659217894077301,0.5256410241127014,0.6307692527770996,0
1,baseline_27_0,0.01,0.5052393291677747,0.7574712634086609,0.762910783290863,0.7471264600753784,0.7821229100227356,0.6756756901741028,0.7692307829856873,20
2,baseline_27_0,0.01,0.4914843908378056,0.7666666507720947,0.7648401856422424,0.7701149582862854,0.7877094745635986,0.6849315166473389,0.7692307829856873,60
3,baseline_27_0,0.01,0.48385746138436453,0.7701149582862854,0.768878698348999,0.7724137902259827,0.7877094745635986,0.695652186870575,0.7384615540504456,120
4,baseline_27_0,0.01,0.47934638602393015,0.7724137902259827,0.7749419808387756,0.7678160667419434,0.7821229100227356,0.6857143044471741,0.7384615540504456,200
5,baseline_27_0,0.01,0.47552001902035307,0.7735632061958313,0.774193525314331,0.7724137902259827,0.7709497213363647,0.6666666865348816,0.7384615540504456,200
6,baseline_27_0,0.01,0.47340734941618784,0.7724137902259827,0.7711670398712158,0.7747126221656799,0.7653631567955017,0.6575342416763306,0.7384615540504456,220
7,baseline_27_0,0.01,0.4692505257470267,0.7724137902259827,0.777517557144165,0.7632184028625488,0.7765362858772278,0.6811594367027283,0.7230769395828247,260
8,baseline_27_0,0.01,0.4668104776314327,0.777011513710022,0.7903614640235901,0.754023015499115,0.7821229100227356,0.6911764740943909,0.7230769395828247,320
9,baseline_27_0,0.01,0.46494161231177195,0.7758620977401733,0.7884615659713745,0.754023015499115,0.7765362858772278,0.6811594367027283,0.7230769395828247,400
10,baseline_27_0,0.01,0.4623799579484122,0.7735632061958313,0.7767441868782043,0.7678160667419434,0.7597765326499939,0.6527777910232544,0.7230769395828247,400
11,baseline_27_0,0.01,0.4604844536100115,0.7735632061958313,0.7931034564971924,0.7402299046516418,0.7821229100227356,0.6911764740943909,0.7230769395828247,420
12,baseline_27_0,0.01,0.45807288799967083,0.771264374256134,0.7920792102813721,0.7356321811676025,0.7765362858772278,0.6811594367027283,0.7230769395828247,460
13,baseline_27_0,0.01,0.45615276268550325,0.7701149582862854,0.7944862246513367,0.728735625743866,0.7765362858772278,0.6811594367027283,0.7230769395828247,520
14,baseline_27_0,0.01,0.4535863697528839,0.771264374256134,0.7836538553237915,0.7494252920150757,0.7709497213363647,0.6666666865348816,0.7384615540504456,600
15,baseline_27_0,0.01,0.4519585498741695,0.771264374256134,0.7964823842048645,0.728735625743866,0.7765362858772278,0.6811594367027283,0.7230769395828247,600
16,baseline_27_0,0.01,0.451407538993018,0.771264374256134,0.787804901599884,0.7425287365913391,0.7653631567955017,0.6619718074798584,0.7230769395828247,620
17,baseline_27_0,0.01,0.4481337411063058,0.7747126221656799,0.7994987368583679,0.7333333492279053,0.7709497213363647,0.6764705777168274,0.7076923251152039,660
18,baseline_27_0,0.01,0.44643512793949675,0.7781609296798706,0.8055555820465088,0.7333333492279053,0.7709497213363647,0.6764705777168274,0.7076923251152039,720
19,baseline_27_0,0.01,0.44648413147245136,0.7758620977401733,0.8015075325965881,0.7333333492279053,0.7653631567955017,0.6666666865348816,0.7076923251152039,800
